# Timestamp,MMSI,Latitude,Longitude,ROT,SOG,COG,lat_diff,lon_diff
06/07/2024 00:00:33,3638,91.0,0.0,,,,,
06/07/2024 00:00:52,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:01:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:02:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:02:33,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:03:33,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:07:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:07:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:08:12,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:08:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:09:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:13:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:13:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:14:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:15:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:16:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:17:42,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:19:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:20:02,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:20:33,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:23:33,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:23:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:25:14,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:25:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:25:42,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:25:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:28:03,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:29:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:32:03,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:33:12,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:33:32,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:35:14,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:35:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:35:33,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:37:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:37:52,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:38:52,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:39:23,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:39:52,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:40:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:41:12,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:41:22,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:43:03,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:44:03,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:44:22,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:45:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:46:22,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:47:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:48:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:48:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:50:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:50:32,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:51:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:51:42,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:53:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:53:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:54:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:56:12,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:57:04,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:57:12,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:57:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:57:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:58:04,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:59:07,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 00:59:12,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:02:42,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:03:42,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:05:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:06:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:07:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:07:22,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:08:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:08:22,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:09:03,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:10:13,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:11:05,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:11:52,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:12:52,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:13:02,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:13:53,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:15:24,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:15:33,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:16:43,3638,91.0,0.0,,,,0.0,0.0
06/07/2024 01:17:43,3638,91.0,0.0,,,,0.0,0.0
